pkg,title,topics
braids,Draw braid diagrams with PGF/TikZ,"Tagged PDF – fully compatible, PGF TikZ, Graphics, Maths, Diagrams"
broydensolve,Solve a system of equations with Broyden’s good method,"PGF TikZ, Tagged PDF – fully compatible, Graphics"
bundledoc,Bundle together all the files needed to build a LaTeX document,"Archival, Bundle"
businesscard-qrcode,Business cards with QR-Code,"Class, File card, QR Code, XeTeX"
byo-twemojis,<q>Build your own twemojis</q> with TikZ,"Amusements, Graphics, PGF TikZ"
byrne,Typeset geometric proofs in the style of Oliver Byrne’s 1847 edition of Euclid’s Elements,"Graphics METAPOST, Graphics, LuaTeX"
bytefield,Create illustrations for network protocol specifications,"Engineering, Comp net, Computer science, Tagged PDF – incompatible"
calcage,"Calculate the age of something, in years",Date time
calctab,Language for numeric tables,Calculation
calculation,"Typesetting reasoned calculations, also called calculational proofs","Proof, Maths"
calculator,Use LaTeX as a scientific calculator,"Tagged PDF – fully compatible, Calculation, Maths"
callouts,Put simple annotations and notes inside a picture,"Graphics, PGF TikZ"
canoniclayout,Create canonical page layouts with memoir,Geometry
cardgame,Typeset custom playing cards for printing,"Games, Cards"
catechis,Macros for typesetting catechisms,Theology
causets,Draw causal set (Hasse) diagrams,"PGF TikZ, Math Diagrams, Tagged PDF – fully compatible, Graphics, Maths"
ccicons,LaTeX support for Creative Commons icons,"Font symbol, Font, Font Type1, Tagged PDF – partially compatible"
cclicenses,Typeset Creative Commons licence logos,Logo
cellprops,"Accept CSS-like selectors in tabular, array, …",Table
celtic,A TikZ library for drawing celtic knots,"PGF TikZ, Tagged PDF – fully compatible, Graphics"
censor,Tools for producing redacted documents,"Security, Tagged PDF – incompatible"
changelayout,Change the layout of individual pages and their text,Geometry adjust
changelog,Typesetting keepachangelog.com style changelogs,"Version control, Tagged PDF – fully compatible, Document Management"
changes,Manual change markup,"Document tool, Tagged PDF – incompatible, Editorial"
char2path,A LaTeX package that converts characters into TikZ paths,PGF TikZ
chatui,"Typeset AI chat transcripts as terminal, web, or desktop chat UIs",Quotation
chemformula,Command for typesetting chemical formulas and reactions,"Chemistry, Tagged PDF – incompatible"
chemobabel,"Convert chemical structures from ChemDraw, MDL molfile or SMILES using Open Babel","Foreign import, Chemistry, Graphics"
chempid,Draw Piping and Instrumentation diagrams using TikZ via PGF,"Block Diagrams, PGF TikZ, Chemistry, Diagrams"
chemplants,Symbology to draw chemical plants with TikZ,"PGF TikZ, Flow Diagrams, Chemistry, Graphics"
chemschemex,Typeset and cross-reference chemical schemes based on TikZ code,Chemistry
chess-problem-diagrams,A package for typesetting chess problem diagrams,"Chess, Games, Tagged PDF – incompatible"
chessboard,Print chess boards,"Games, Tagged PDF – incompatible, Chess"
chickenize,Use Lua callbacks for <q>interesting</q> textual effects,"Typesetting, Games, LuaTeX"
chinesechess,Typeset Chinese chess with l3draw,"Chinese, Chess, Games"
chordbox,Draw chord diagrams,"PGF TikZ, Chords, Music"
chroma,A reference book of LaTeX colours,"Colour, Documentation"
chronology,Provides a horizontal timeline,"PGF TikZ, Calendar, Planning, Tagged PDF – incompatible"
circledsteps,Typeset circled numbers,"Numbers, Tagged PDF – partially compatible"
circledtext,Create circled text,"Tagged PDF – partially compatible, Graphics symbols"
circuit-macros,M4 macros for electric circuit diagrams,"Electronic, Circuit Diagram"
circuitikz,Draw electrical networks with TikZ,"Circuit Diagram, Graphics, Electronic, PGF TikZ"
circularglyphs,A circular glyphs alphabet,"PGF TikZ, Font"
citation-style-language,Bibliography formatting with Citation Style Language,"Bibliography, Use Lua, Tagged PDF – incompatible"
citeright,Specify accurate natbib citations for diverse naming conventions,Cite support
classics,Cite classic works,"Humanities, Cite support"
classicthesis,A <q>classically styled</q> thesis package,Dissertation
cleveref,Intelligent cross-referencing,"Label and References, Tagged PDF – partially compatible"
clipboard,Copy and paste into and across documents,"Quotation import, Tagged PDF – fully compatible"
cloze,A LuaLaTeX package for creating cloze texts,"Exam, LuaTeX"
clrstrip,Place contents into a full width colour strip,"Colour, Tagged PDF – incompatible"
cmarrows,MetaPost arrows and braces in the Computer Modern style,Graphics symbols
cmll,Symbols for linear logic,"Font, Maths Font, Tagged PDF – partially compatible, Font Type1, MF Font"
codedoc,LaTeX code and documentation in LaTeX-format file,Documentation support
codehigh,Highlight code and demos with l3regex and LPeg,"Syntax highlight, Tagged PDF – incompatible, Listing, Use LuaTeX"
coffeestains,Add coffee stains to documents,"Amusements, PGF TikZ, Graphics"
colorframed,Fix color problems with the package <q>framed</q>,"Tagged PDF – incompatible, Decoration"
colorspace,Provides PDF color spaces,Colour
colortab,Shade cells of tables and halign,"Table, Colour"
colortbl,Add colour to LaTeX tables,"Table, Colour, Tagged PDF – fully compatible"
commutative-diagrams,CoDi: Commutative Diagrams for TeX,"Maths, Diagrams, Tagged PDF – incompatible, PGF TikZ, Graphics, Math Diagrams, Commutative Diagrams"
comprehensive,Symbols accessible from LaTeX,"Font index, LaTeX Reference"
context-collating-marks,Environment to place collating marks on the spine of a section,"ConTeXt, Book publication"
context-handlecsv,Data merging for automatic document creation,"ConTeXt, CSV support"
context-visualcounter,Visual display of ConTeXt counters,ConTeXt
contour,Print a coloured contour around text,"Colour, Tagged PDF – incompatible, Decoration"
coop-writing,Support for Cooperative Writing and editorial comments,Editorial
copyrightbox,Provide copyright notices for images in a document,Typesetting
countwords,"Exact word counts, stored in LaTeX counters, using Lua","Word count, LuaTeX"
crbox,Boxes with crossed corners,"Boxing, Typesetting, Decoration"
crefthe,Cross referencing with proper definite articles and declensions,Label and References
crop,Support for cropmarks,"Tagged PDF – incompatible, Layout page"
crossrefenum,Smart typesetting of enumerated cross-references for various TeX formats,"Label and References, ConTeXt"
crossword,Typeset crossword puzzles,"Sudoku, Games, Tagged PDF – incompatible, Crossword puzzle"
crosswrd,Macros for typesetting crossword puzzles,"Games, Crossword puzzle"
css-colors,Named colors for web-safe design,Colour
ctable,Flexible typesetting of table and figure floats using key/value directives,"Float, Tagged PDF – incompatible, Table"
ctex,LaTeX classes and packages for Chinese typesetting,"Chinese, Book publication, Tagged PDF – incompatible, Class"
cutwin,"Cut a window in a paragraph, typeset material in it","Tagged PDF – partially compatible, Text flow"
dashbox,Draw dashed boxes,"Boxing, Tagged PDF – incompatible"
dataref,Manage references to experimental data,"Data manipulation, Label and References"
datax,Import individual data from script files,Data import
datestamp,Fixed date-stamps with LuaLaTeX,"LuaTeX, Date time"
datetime2,"Formats for dates, times and time zones","Tagged PDF – fully compatible, Date time, Multi-lingual"
dbshow,"A package to store and display data with custom filters, orders, and styles","Data display, Data selection, Data preparation"
dcpic,Commutative diagrams in a LaTeX and TeX documents,Commutative Diagrams
ddphonism,"Dodecaphonic diagrams: twelve-tone matrices, clock diagrams, etc","Music, PGF TikZ, Diagrams"
debate,Debates between reviewers,Notes
decision-table,An easy way to create Decision Model and Notation decision tables,"Table, Diagrams, Planning"
derivative,Nice and easy derivatives,"Maths, Tagged PDF – fully compatible"
diabetes-logbook,A logbook for people with type one diabetes,"Data display, Document template"
diadia,Package to keep a diabetes diary,Data display
diagmac2,"Diagram macros, using pict2e","Commutative Diagrams, Graphics in TeX"
dialogl,Macros for constructing interactive LaTeX scripts,Macro support
dijkstra,Dijkstra's shortest-path algorithm for LaTeX,"Automata, Maths, Tagged PDF – fully compatible"
dirtree,Display trees in the style of windows explorer,"Tree, Tagged PDF – incompatible"
ditaa,Use ditaa diagrams within LaTeX documents,Diagrams
dnaseq,Format DNA base sequences,Mol bio
doclicense,Support for putting documents under a license,"Licence management, Tagged PDF – partially compatible"
domaincoloring,Draw colored represenations of complex functions,"Graphics plot function, Tagged PDF – fully compatible, Maths, Graphics plot, Colour, LuaTeX, Graphics EPS/PDF, Graphics include, Graphics"
download,Allow LaTeX to download files using an external process,External code
dpcircling,Decorated text boxes using TikZ,"PGF TikZ, Boxing, Decoration"
draftcopy,Identify draft copies,Editorial
draftmark,Put draft marks on selected pages,Editorial
drawmatrix,Draw visual representations of matrices in LaTeX,"Matrix, PGF TikZ, Diagrams"
dsptricks,Macros for Digital Signal Processing plots,"PSTricks, Tagged PDF – incompatible"
ducksay,Draw ASCII art of animals saying a specified message,"Games, Graphics, Amusements, Tagged PDF – incompatible"
duotenzor,Drawing package for circuit and duotensor diagrams,"Circuit Diagram, Diagrams, PGF TikZ, Graphics"
dvgloss,Facilities for setting interlinear glossed text,Linguistic
dynkin-diagrams,"Draw Dynkin, Coxeter, and Satake diagrams using TikZ","PGF TikZ, Graphics, Diagrams"
ean13isbn,Print EAN13 for ISBN,"Std conform, Barcode"
easing,Smooth interpolation functions for pgfmath,"Graphics support, Calculation, Graphics, PGF TikZ"
econlipsum,Generate sentences from economic articles,"Dummy generator, Tagged PDF – fully compatible"
egpeirce,Draw existential graphs invented by Charles S. Peirce,"Diagrams, Logic, Tagged PDF – incompatible, PSTricks, Philosophy"
eigo,Comprehensive tools for creating Go (Weiqi/Baduk) game diagrams in LaTeX,"PGF TikZ, Games, Go"
einfart,Write your articles in a simple and clear way,"Article-like, Class, Multi-lingual"
ellipse,Draw ellipses and elliptical arcs using the standard LaTeX2e picture environment,Graphics
eltex,Simple circuit diagrams in LaTeX picture mode,Circuit Diagram
elzcards,"Typeset business cards, index cards and flash cards easily",Cards
emarks,Named mark registers with e-TeX,Typesetting
embedall,Embed source files into the generated PDF,"PDF features, Archival"
embedfile,Embed files into PDF,"Tagged PDF – fully compatible, PDF features"
emerald,Support for the free emerald city fontwerks fonts,"Novelty Font, Calligraphic Font"
emo,Emoji for all (LaTeX engines),"Graphics use, Tagged PDF – partially compatible, Graphics"
emoji,Use emoji characters in (Lua)LaTeX,"Graphics, LuaTeX, Graphics use, Tagged PDF – partially compatible"
emojicite,Add emojis to citations,"Graphics use, LuaTeX, Cite support"
emotion,Make emojis more easy to use in XeLaTeX and LuaLaTeX,Text symbol
enumext,Enumerate exercise sheets,"Exercise, Tagged PDF – fully compatible, List enumerate, List"
enumsub,Aligned inline sublists for enumitem,"List enumerate, List"
epigraph,A package for typesetting epigraphs,"Epigram, Tagged PDF – partially compatible"
epigraph-keys,Epigraphs using key values,"Epigram, Tagged PDF – incompatible"
epsdice,A scalable dice <q>font</q>,"Tagged PDF – partially compatible, Graphics use"
euclidean-lattice,Draw two-dimensional Euclidean lattices with TikZ,"PGF TikZ, Graphics, Maths"
euclideangeometry,Draw geometrical constructions,"Maths, Tagged PDF – incompatible, Graphics"
evenpage,Ensure that the total number of pages is even,Blank page
everypage,Provide hooks to be run on every page of a document,"Defer stuff, Tagged PDF – fully compatible"
exam,Package for typesetting exam scripts,"Tagged PDF – incompatible, Class, Exam"
exam-zh,LaTeX template for Chinese exams,"Exam, XeTeX, Chinese"
exercises,Typeset exercises and solutions with automatic addition of points,Exercise
exesheet,Typesetting exercise or exam sheets,"Teaching, Class, Exam, Exercise"
exframe,Framework for exercise problems,"Exam, Exercise"
expdlist,Expanded description environments,List described
expressg,"Diagrams consisting of boxes, lines, and annotations","Graphics in TeX, Diagrams"
extract,Write selected parts of a document to a separate file,Editorial
ezedits,Commands for tracking document changes and notes,"Editorial, Notes"
fadingimage,Add full width fading pictures at the top or bottom of a page,"PGF TikZ, Background, Graphics include"
familytree,Draw family trees,"Genealogy, Tree, Diagrams"
fancybox,Variants of \fbox and other games with boxes,"Boxing, Tagged PDF – incompatible"
fancylabel,Complex labelling with LaTeX,"Label and References, Chemistry"
fancypar,Decoration of individual paragraphs,"Decoration, Tagged PDF – incompatible"
fancyqr,Fancy QR-Codes with TikZ,"PGF TikZ, QR Code"
fast-diagram,Easy generation of FAST diagrams,"PGF TikZ, Diagrams"
fbox,Extended \fbox macro from standard LaTeX,"Boxing, Tagged PDF – incompatible"
fcolumn,Typesetting financial tables,"Table, Tagged PDF – fully compatible"
featpost,MetaPost macros for 3D,3D Graphics
ffcode,Fixed-font code blocks formatted nicely,"Verbatim, Line numbers, Listing"
fgruler,Draw rulers on the foreground or in the text,Misc support
figchild,Pictures for creating children’s activities,"PGF TikZ, Teaching, Graphics, Amusements"
figsize,Auto-size graphics,Graphics
fillwith,Fill vertical space with solid rules or dotted lines,"Leaders, Teaching, Exercise"
firstindexletter,Enlarged initials for the first entries of index letter groups,Index
fistrum,Access to 150 paragraphs of Lorem Fistrum very dummy text,"Dummy generator, Macro support, Spanish"
fitr,Set a rectangular destination and jump to it,"PDF forms, Adobe Distiller, Visual support"
fixme,Collaborative annotation tool for LaTeX,"Notes, Tagged PDF – fully compatible, Editorial"
fiziko,A MetaPost library for physics textbook illustrations,"Physics, Graphics, Graphics METAPOST"
flabels,Labels for files and folders,Labels
flacards,Generate flashcards for printing,"Flash Card, Class"
flagderiv,Flag style derivation package,Maths
flashcards,A class for typesetting flashcards,Flash Card
flexipage,Flexible page geometry with marginalia,Marginal
flipbook,"Typeset flipbook animations, in the corners of documents","Graphics motion, Graphics use"
flowchart,"Shapes for drawing flowcharts, using TikZ","Flow Diagrams, PGF TikZ"
fnpct,Manage footnote marks’ interaction with punctuation,"Footnote, Tagged PDF – fully compatible"
foliono,Use folio numbers to replace page numbers,"Numbers, Page numbers"
fontawesome,Font containing web-related icons,"Font, Font symbol, Font Type1, Tagged PDF – partially compatible, OTF Font, Font supp symbol"
fontawesome7,Font Awesome 7 with LaTeX support,"Font Type1, Font symbol, Tagged PDF – partially compatible, Font supp symbol, Font, OTF Font"
fontawesomescaled,Additional macros for fontawesome icons,"Font selection, Macro support"
fontbook,Generate a font book,Font development
fontinstallationguide,Font installation guide,Font documentation
fontwrap,Bind fonts to specific unicode blocks,"Font selection, Unicode, Font support"
footnoterange,References to ranges of footnotes,"Footnote, Label and References, Tagged PDF – incompatible"
forest,Drawing (linguistic) trees,"Tree, Tagged PDF – partially compatible, PGF TikZ, Linguistic"
formlett,Letters to multiple recipients,Letter
formular,Create forms containing field for manual entry,Form fillin
frame,Framed boxes for Plain TeX,"Decoration, Boxing"
fretplot,Create scale and chord diagrams for guitar-like instruments,"Music, Diagrams, LuaTeX, Graphics, PGF TikZ"
froufrou,Fancy section separators,"Tagged PDF – partially compatible, Decoration"
fullminipage,Minipage spanning a complete page,Layout
functional,An intuitive functional programming interface for LaTeX2,"LaTeX3, Macro support"
fundus-pvscript,Support for Vanroose handwriting font,Font support
gamebook,Typeset gamebooks and other interactive novels,Games
gapfill,Generate LaTeX picture environments from PostScript output of drawing programs,Graphics prep
gastex,Graphs and Automata Simplified in TeX,Graphics in TeX
gates,Support for writing modular and customisable code,Macro support
gauss,A package for Gaussian operations,Maths
gchords,Typeset guitar chords,Music
gckanbun,Kanbun typesetting for (u)pLaTeX and LuaLaTeX,"Japanese, Chinese"
genealogytree,Pedigree and genealogical tree diagrams,"Genealogy, PGF TikZ, Humanities"
gentium-tug,Gentium fonts (in two formats) and support files,"Font, Cyrillic Font, Body Font, Font support, Greek Font, Proportional Font, Font Type1, Tagged PDF – fully compatible, Font TTF, Multilingual Font, Font t1enc, Font serif"
getfiledate,Find the date of last modification of a file,File management
getmap,Download OpenStreetMap maps for use in documents,Cartography
gfnotation,Typeset Gottlob Frege’s notation in plain TeX,"Logic, Maths"
ghsystem,Globally harmonised system of chemical (etc) naming,"Tagged PDF – partially compatible, Chemistry"
gitinfo-lua,Display git project information in your LaTeX projects,"LuaTeX, Version control, Tagged PDF – fully compatible, Document Management"
gitinfo2,Access metadata from the git distributed version control system,"Tagged PDF – fully compatible, Version control, Document Management"
gitlog,Typesetting git changelogs,"Document Management, Version control"
gitstatus,Include Git information in the document as watermark or via variables,"Watermark, Decoration"
gitver,Get the current git hash of a project and typeset it in the document,"Version control, Document Management"
gradient-text,Decorate text with linear gradient colors,Colour
gradientframe,Simple gradient frames around objects,Decoration
grading-scheme,Typeset grading schemes in tabular format,Table
grafcet,Draw Grafcet/SFC with TikZ,"PGF TikZ, Diagrams"
graph35,Draw keys and screen items of several Casio calculators,"Graphics, Teaching, Maths"
graphbox,Extend graphicx to improve placement of graphics,"Graphics, Graphics include, Tagged PDF – partially compatible"
grapher,"Create graphs, state machine and data flow diagrams",Graphics engine
graphicxpsd,Adobe Photoshop Data format (PSD) support for graphicx package,"Tagged PDF – fully compatible, Graphics include"
grayhints,Produce <q>gray hints</q> to a variable text field,"Misc support, Adobe Distiller, PDF forms"
gregoriotex,Engraving Gregorian Chant scores,"Music, Chords"
grid,Baseline-grid typesetting in LaTeX,Typeset grid
grid-system,"Page organisation, modelled on CSS facilities",Layout
gridpapers,Graph paper backgrounds and color schemes,"PGF TikZ, Background"
gtrcrd,Add chords to lyrics,"Music, Chords"
gtrlib-largetrees,Library for genealogytree aiming at large trees,Genealogy
guitarchordschemes,Guitar Chord and Scale Tablatures,"Music, Chords"
guitartabs,A class for drawing guitar tablatures easily,"Chords, Class, Music"
hackthefootline,Footline selection and configuration for LaTeX beamer’s standard themes,"Page head and foot, Presentation"
handout,Create handout for auditors of a talk,Presentation
handoutwithnotes,Create Handouts with notes from your LaTeX beamer presentation,Presentation
hanging,Paragraphs with a hanging indent,"Tagged PDF – fully compatible, Layout"
hardwrap,Hard wrap text to a certain character length,"Layout, Tagged PDF – fully compatible"
harveyballs,Create Harvey Balls using TikZ,"PGF TikZ, Graphics symbols"
havannah,Diagrams of board positions in the games of Havannah and Hex,"Games, PGF TikZ"
he-she,Alternating pronouns to aid gender-neutral writing,Typesetting
hereapplies,A LaTeX package for referencing groups of pages that share something in common,Label and References
hershey-mp,MetaPost support for the Hershey font file format,"METAPOST use, METAPOST support"
hexboard,For drawing Hex boards and games,"Games, Graphics"
hhline,Better horizontal lines in tabulars and arrays,"Tagged PDF – fully compatible, Table rule"
hlist,Horizontal and columned lists,"List, List support, Table, Tagged PDF – incompatible"
hmtrump,Describe card games,"Games, Font, LuaTeX, Font supp symbol, Font support, Font TTF, Font symbol"
hobby,An implementation of Hobby’s algorithm for PGF/TikZ,"Graphics support, Curve Graphics, Graphics in TeX, PGF TikZ, Tagged PDF – fully compatible"
hologo,A collection of logos with bookmark support,"Tagged PDF – fully compatible, Generic Macros, Logo"
horoscop,Generate astrological charts in LaTeX,Astrology
href-ul,Underscored LaTeX hyperlinks,"Hyper, Verbatim, Underline"
hrefhide,Suppress hyper links when printing,Hyper
huffman,Drawing binary Huffman trees with MetaPost and METAOBJ,"Graphics METAPOST, Tree"
hvfloat,"Controlling captions, fullpage and doublepage floats","Float, Box manipulation, Tagged PDF – incompatible"
hvqrurl,Insert a QR code in the margin,QR Code
hypdvips,Hyperref extensions for use with dvips,"Tagged PDF – unsupported, Hyper"
ifplatform,Conditionals to test which platform is being used,"Tagged PDF – fully compatible, Environment query"
igo,Fonts and macro to typeset Go diagrams,"MF Font, Font symbol, Font, Go, Games"
image-gallery,Create an overview of pictures from a digital camera or from other sources,"Graphics use, Class"
insbox,Insert pictures/boxes into paragraphs,Text flow
interactiveanimation,Create PDF files with branching animations,Graphics motion
interfaces,"Set parameters for other packages, conveniently",Package support
interpreter,Translate input files on the fly,"Foreign import, LuaTeX, Macro support"
intexgral,A LaTeX package for typesetting integrals,Maths
invoice,Generate invoices,Invoice
invoice-class,Produces a standard US invoice from a CSV file,"Invoice, CSV support"
invoice2,Intelligent invoices with LaTeX3,Invoice
ipsum,Insert multilingual placeholder text,Dummy generator
isodoc,A LaTeX class for typesetting letters and invoices,"Invoice, Class, Letter"
isorot,Rotation of document elements,Rotation
isosigns,"ISO signs and colors according to the standards 7001, 7010 and 3864","Graphics symbols, Typeset standard, Logo"
istgame,Draw Game Trees with TikZ,"Games, Tree, PGF TikZ"
jablantile,Metafont version of tiles in the style of Slavik Jablan,"MF Font, Font, Novelty Font"
jeuxcartes,Macros to insert playing cards,"Games, Cards, PGF TikZ"
jigsaw,Draw jigsaw pieces with TikZ,"Tagged PDF – fully compatible, PGF TikZ"
joinbox,Join boxes vertically or horizontally,Box manipulation
jumplines,Articles with teasers and continuation later on,"LuaTeX, Journal"
kalendarium,Print dates according to the classical Latin calendar,"LaTeX3, Calendar"
kanbun,Typeset kanbun-kundoku with support for kanbun annotation,"Japanese, Chinese, Tagged PDF – incompatible, Use LuaTeX"
kantlipsum,Generate sentences in Kant’s style,"Macro support, Dummy generator, Tagged PDF – fully compatible"
karnaugh,Typeset Karnaugh-Veitch-maps,"Maths, Engineering"
karnaugh-map,LaTeX package for drawing karnaugh maps with up to 6 variables,"Engineering, Tagged PDF – incompatible, PGF TikZ, Maths"
kblocks,Easily typeset Control Block Diagrams and Signal Flow Graphs,"Flow Diagrams, Block Diagrams"
kerntest,Print tables and generate control files to adjust kernings,Font development
keycommand,Simple creation of commands with key-value arguments,"Key-Val, Tagged PDF – fully compatible"
keyindex,Index entries by key lookup,Index
keystroke,Graphical representation of keys on keyboard,"Documentation support, Tagged PDF – incompatible"
keyval2e,A lightweight and robust key-value parser,Key-Val
keyvaltable,Re-usable table layouts separating content and presentation,"Tagged PDF – partially compatible, Table"
kinematikz,Design kinematic chains and mechanisms,"PGF TikZ, Physics"
kksymbols,"LaTeX commands for enclosing characters in circles, squares, diamonds, or brackets","Graphics symbols, LuaTeX, Text symbol, PGF TikZ, Japanese"
knowledge,"Displaying, hyperlinking, and indexing notions in a document","Index, Label and References"
kvmap,Create Karnaugh maps with LaTeX,"Engineering, Maths"
labels,Print sheets of sticky labels,Labels
labyrinth,Draw labyrinths and solution paths,Games
ladder,Draw simple ladder diagrams using TikZ,"PGF TikZ, Circuit Diagram"
langcode,Simple language-dependent settings based on language codes,"Multi-lingual, Generic Macros"
langnames,Name languages and their genetic affiliations consistently,"Abbreviations, Linguistic"
lapdf,PDF drawing directly in TeX documents,Graphics in TeX
lastpage,Reference last page for Page N of M type footers,"Label and References, Tagged PDF – fully compatible"
latex-brochure,A publicity flyer for LaTeX,Advertisements
latex-course,A LaTeX course as a projected presentation,"Course material, Tutorial LaTeX"
latex-indexer,Automate index generation for LaTeX documents,"Index, Index proc"
latex4musicians,A guide for combining LaTeX and music,"Music, Tutorial LaTeX, Tutorial"
latex4wp,A LaTeX guide specifically designed for word processor users,"Facility Surveys, Documentation"
latexcolors,Use color definitions from latexcolor.com,Colour
latexdiff,Determine and mark up significant differences between LaTeX files,Document Management
latexgit,A LaTeX git wrapper,"Version control, Document Management"
latexindent,"Indent a LaTeX document, highlighting the programming structure",Code layout
latexscreenshooter,Capture screenshots within LaTeX documents,Graphics include
layout,View the layout of a document,"Tagged PDF – incompatible, Layout show"
lcd,Alphanumerical LCD-style displays,Graphics in TeX
leading,Define leading with a length,"Typesetting, Tagged PDF – fully compatible, Layout"
